,ID,Acronym,Name,Parent Region,Layer,Ancestors,Graph Order
0,997,root,root,Other,,[],0
1,8,grey,Basic cell groups and regions,Other,,['root'],1
2,567,CH,Cerebrum,Other,,"['root', 'Basic cell groups and regions']",2
3,688,CTX,Cerebral cortex,Other,,"['root', 'Basic cell groups and regions', 'Cerebrum']",3
4,695,CTXpl,Cortical plate,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex']",4
5,315,Isocortex,Isocortex,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate']",5
6,184,FRP,"Frontal pole, cerebral cortex",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex']",6
7,68,FRP1,"Frontal pole, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Frontal pole, cerebral cortex']",7
8,667,FRP2/3,"Frontal pole, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Frontal pole, cerebral cortex']",8
9,526157192,FRP5,"Frontal pole, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Frontal pole, cerebral cortex']",9
10,526157196,FRP6a,"Frontal pole, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Frontal pole, cerebral cortex']",10
11,526322264,FRP6b,"Frontal pole, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Frontal pole, cerebral cortex']",11
12,500,MO,Somatomotor areas,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex']",12
13,107,MO1,"Somatomotor areas, Layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",13
14,219,MO2/3,"Somatomotor areas, Layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",14
15,299,MO5,"Somatomotor areas, Layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",15
16,644,MO6a,"Somatomotor areas, Layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",16
17,947,MO6b,"Somatomotor areas, Layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",17
18,985,MOp,Primary motor area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",18
19,320,MOp1,"Primary motor area, Layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Primary motor area']",19
20,943,MOp2/3,"Primary motor area, Layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Primary motor area']",20
21,648,MOp5,"Primary motor area, Layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Primary motor area']",21
22,844,MOp6a,"Primary motor area, Layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Primary motor area']",22
23,882,MOp6b,"Primary motor area, Layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Primary motor area']",23
24,993,MOs,Secondary motor area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas']",24
25,656,MOs1,"Secondary motor area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Secondary motor area']",25
26,962,MOs2/3,"Secondary motor area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Secondary motor area']",26
27,767,MOs5,"Secondary motor area, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Secondary motor area']",27
28,1021,MOs6a,"Secondary motor area, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Secondary motor area']",28
29,1085,MOs6b,"Secondary motor area, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatomotor areas', 'Secondary motor area']",29
30,453,SS,Somatosensory areas,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex']",30
31,12993,SS1,"Somatosensory areas, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",31
32,12994,SS2/3,"Somatosensory areas, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",32
33,12995,SS4,"Somatosensory areas, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",33
34,12996,SS5,"Somatosensory areas, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",34
35,12997,SS6a,"Somatosensory areas, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",35
36,12998,SS6b,"Somatosensory areas, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",36
37,322,SSp,Primary somatosensory area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas']",37
38,793,SSp1,"Primary somatosensory area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",38
39,346,SSp2/3,"Primary somatosensory area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",39
40,865,SSp4,"Primary somatosensory area, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",40
41,921,SSp5,"Primary somatosensory area, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",41
42,686,SSp6a,"Primary somatosensory area, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",42
43,719,SSp6b,"Primary somatosensory area, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",43
44,353,SSp-n,"Primary somatosensory area, nose",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",44
45,558,SSp-n1,"Primary somatosensory area, nose, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",45
46,838,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",46
47,654,SSp-n4,"Primary somatosensory area, nose, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",47
48,702,SSp-n5,"Primary somatosensory area, nose, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",48
49,889,SSp-n6a,"Primary somatosensory area, nose, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",49
50,929,SSp-n6b,"Primary somatosensory area, nose, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, nose']",50
51,329,SSp-bfd,"Primary somatosensory area, barrel field",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",51
52,981,SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",52
53,201,SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",53
54,1047,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",54
55,1070,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",55
56,1038,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",56
57,1062,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",57
58,480149202,VISrll,Rostrolateral lateral visual area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field']",58
59,480149206,VISrll1,"Rostrolateral lateral visual area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",59
60,480149210,VISrll2/3,"Rostrolateral lateral visual area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",60
61,480149214,VISrll4,"Rostrolateral lateral visual area, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",61
62,480149218,VISrll5,"Rostrolateral lateral visual area,layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",62
63,480149222,VISrll6a,"Rostrolateral lateral visual area, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",63
64,480149226,VISrll6b,"Rostrolateral lateral visual area, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, barrel field', 'Rostrolateral lateral visual area']",64
65,337,SSp-ll,"Primary somatosensory area, lower limb",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",65
66,1030,SSp-ll1,"Primary somatosensory area, lower limb, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",66
67,113,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",67
68,1094,SSp-ll4,"Primary somatosensory area, lower limb, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",68
69,1128,SSp-ll5,"Primary somatosensory area, lower limb, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",69
70,478,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",70
71,510,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area', 'Primary somatosensory area, lower limb']",71
72,345,SSp-m,"Primary somatosensory area, mouth",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Somatosensory areas', 'Primary somatosensory area']",72
